sec	CH1	CH40	CH41	
	36504	36504	36504	
0	-0.0164795	0.000164795	0	
0.002	-0.045166	0.000616455	0	
0.004	-0.0506592	0.00112305	0	
0.006	-0.0360107	0.00148315	0	
0.008	-0.0360107	0.00184326	0	
0.01	-0.020752	0.00205078	0	
0.012	-0.012207	0.00217285	0	
0.014	-0.0262451	0.0024353	0	
0.016	-0.0408936	0.00284424	0	
0.018	-0.0195312	0.00303955	0	
0.02	-0.0201416	0.00324097	0	
0.022	-0.00427246	0.00328369	0	
0.024	-0.000610352	0.00328979	0	
0.026	-0.0012207	0.003302	0	
0.028	0.0152588	0.00345459	0	
0.03	-0.0189209	0.0036438	0	
0.032	-0.032959	0.00397339	0	
0.034	-0.0408936	0.00438232	0	
0.036	-0.0128174	0.0045105	0	
0.038	-0.0311279	0.00482178	0	
0.04	-0.00976562	0.00491943	0	
0.042	-0.012207	0.0050415	0	
0.044	-0.0463867	0.00550537	0	
0.046	-0.0421143	0.00592651	0	
0.048	-0.0115967	0.00604248	0	
0.05	-0.0109863	0.00615234	0	
0.052	0.0152588	0.00630493	0	
0.054	0.00366211	0.00634155	0	
0.056	-0.00793457	0.0064209	0	
0.058	-0.0421143	0.00684204	0	
0.06	0.0140381	0.00698242	0	
0.062	-0.0134277	0.0071167	0	
0.064	-0.0384521	0.00750122	0	
0.066	-0.0512695	0.00801392	0	
0.068	-0.0317383	0.0083313	0	
0.07	-0.0268555	0.00859985	0	
0.072	-0.0354004	0.00895386	0	
0.074	-0.0445557	0.00939941	0	
0.076	-0.0476074	0.00987549	0	
0.078	-0.0177002	0.0100525	0	
0.08	-0.00488281	0.0101013	0	
0.082	-0.0115967	0.0102173	0	
0.084	-0.0286865	0.0105042	0	
0.086	-0.012207	0.0106262	0	
0.088	0.0195312	0.0108215	0	
0.09	-0.00671387	0.0108887	0	
0.092	-0.0177002	0.0110657	0	
0.094	-0.0231934	0.0112976	0	
0.096	-0.0268555	0.0115662	0	
0.098	-0.0140381	0.0117065	0	
0.1	-0.0152588	0.0118591	0	
0.102	-0.0311279	0.0121704	0	
0.104	-0.0512695	0.0126831	0	
0.106	-0.0384521	0.0130676	0	
0.108	-0.010376	0.0131714	0	
0.11	-0.032959	0.013501	0	
0.112	-0.0421143	0.0139221	0	
0.114	-0.0488281	0.0144104	0	
0.116	-0.0158691	0.0145691	0	
0.118	-0.00915527	0.0146606	0	
0.12	-0.0219727	0.0148804	0	
0.122	-0.0762939	0.0156433	0	
0.124	-0.0268555	0.0159119	0	
0.126	-0.0115967	0.0160278	0	
0.128	0.00244141	0.0160522	0	
0.13	-0.0164795	0.016217	0	
0.132	-0.0152588	0.0163696	0	
0.134	-0.0219727	0.0165894	0	
0.136	-0.0170898	0.0167603	0	
0.138	-0.0109863	0.0168701	0	
0.14	-0.00854492	0.0169556	0	
0.142	-0.0140381	0.0170959	0	
0.144	-0.0280762	0.0173767	0	
0.146	-0.0378418	0.0177551	0	
0.148	-0.0213623	0.0179688	0	
0.15	-0.0250244	0.018219	0	
0.152	-0.0500488	0.0187195	0	
0.154	-0.020752	0.018927	0	
0.156	0	0.018927	0	
0.158	-0.0128174	0.0190552	0	
0.16	-0.00976562	0.0191528	0	
0.162	-0.0238037	0.0193909	0	
0.164	-0.00732422	0.0194641	0	
0.166	-0.0170898	0.019635	0	
0.168	-0.0390625	0.0200256	0	
0.17	-0.0335693	0.0203613	0	
0.172	-0.032959	0.0206909	0	
0.174	-0.032959	0.0210205	0	
0.176	-0.032959	0.0213501	0	
0.178	-0.0158691	0.0215088	0	
0.18	-0.0378418	0.0218872	0	
0.182	-0.0238037	0.0221252	0	
0.184	0.0140381	0.0222656	0	
0.186	0.0177002	0.0224426	0	
0.188	-0.00610352	0.0225037	0	
0.19	-0.0164795	0.0226685	0	
0.192	-0.0164795	0.0228333	0	
0.194	-0.0146484	0.0229797	0	
0.196	-0.0164795	0.0231445	0	
0.198	0.0360107	0.0235046	0	
0.2	0.0793457	0.0241333	0	
0.202	0.0152588	0.0238342	0	
0.204	-0.0482178	0.0238098	0	
0.206	-0.0109863	0.0235596	0	
0.208	-0.0152588	0.0233521	0	
0.21	0.0317383	0.0234619	0	
0.212	0.0494385	0.0238342	0	
0.214	-0.0292969	0.0238647	0	
0.216	-0.055542	0.0240112	0	
0.218	-0.0341797	0.0241577	0	
0.22	-0.0396729	0.024353	0	
0.222	-0.00244141	0.0243347	0	
0.224	-0.0195312	0.0245239	0	
0.226	-0.12085	0.0257202	0	
0.228	-0.0756836	0.0263245	0	
0.23	0.00671387	0.0262024	0	
0.232	-0.0415039	0.0262878	0	
0.234	-0.0769043	0.0266479	0	
